,name,code
474,대영포장,14160
475,대우건설,47040
476,대우부품,9320
477,대우조선해양,42660
478,대웅,3090
479,대웅제약,69620
480,대원,7680
481,대원강업,430
482,대원미디어,48910
483,대원산업,5710
484,대원전선,6340
485,대원제약,3220
486,대원화성,24890
487,대유,290380
488,대유에이텍,2880
489,대유에이피,290120
490,대유플러스,300
491,대정화금,120240
492,대주산업,3310
493,대주이엔티,114920
494,대주전자재료,78600
495,대창,12800
496,대창단조,15230
497,대창솔루션,96350
498,대창스틸,140520
499,대한과학,131220
500,대한광통신,10170
501,대한그린파워,60900
502,대한뉴팜,54670
503,대한방직,1070
504,대한약품,23910
505,대한유화,6650
506,대한전선,1440
507,대한제강,84010
508,대한제당,1790
509,대한제분,1130
510,대한항공,3490
511,대한해운,5880
512,대한화섬,3830
513,대현,16090
514,대호에이엘,69460
515,대호특수강,21040
516,대화제약,67080
517,더네이쳐홀딩스,298540
518,더블유게임즈,192080
519,더블유씨피,393890
520,더블유에스아이,299170
521,더존비즈온,12510
522,더코디,224060
523,더콘텐츠온,302920
524,덕산네오룩스,213420
525,덕산테코피아,317330
526,덕산하이메탈,77360
527,덕성,4830
528,덕신하우징,90410
529,덕양산업,24900
530,덕우전자,263600
531,데브시스터즈,194480
532,데이드림엔터,348840
533,데이타솔루션,263800
534,데이터스트림즈,199150
535,덱스터,206560
536,덴티스,261200
537,덴티움,145720
538,도부마스크,227420
539,도이치모터스,67990
540,도화엔지니어링,2150
541,동구바이오제약,6620
542,동국S&C,100130
543,동국산업,5160
544,동국알앤에스,75970
545,동국제강,1230
546,동국제약,86450
547,동남합성,23450
548,동방,4140
549,동방선기,99410
550,동방아그로,7590
551,동부건설,5960
552,동서,26960
553,동성제약,2210
554,동성케미컬,102260
555,동성화인텍,33500
556,동신건설,25950
557,동아쏘시오홀딩스,640
558,동아에스티,170900
559,동아엘텍,88130
560,동아지질,28100
561,동아타이어,282690
562,동아화성,41930
563,동양,1520
564,동양고속,84670
565,동양생명,82640
566,동양에스텍,60380
567,동양이엔피,79960
568,동양철관,8970
569,동양파일,228340
570,동양피스톤,92780
571,동우팜투테이블,88910
572,동운아나텍,94170
573,동원F&B,49770
574,동원개발,13120
575,동원금속,18500
576,동원산업,6040
577,동원수산,30720
578,동원시스템즈,14820
579,동일고무벨트,163560
580,동일금속,109860
581,동일기연,32960
582,동일산업,4890
583,동일제강,2690
584,동일철강,23790
585,동진쎄미켐,5290
586,동화기업,25900
587,동화약품,20
588,두산,150
589,두산밥캣,241560
590,두산에너빌리티,34020
591,두산테스나,131970
592,두산퓨얼셀,336260
593,두올,16740
594,듀오백,73190
595,듀켐바이오,176750
596,드래곤플라이,30350
597,드림시큐리티,203650
598,드림씨아이에스,223250
599,드림어스컴퍼니,60570
600,드림텍,192650
601,디딤이앤에프,217620
602,디모아,16670
603,디바이스이엔지,187870
604,디스플레이텍,66670
605,디씨엠,24090
606,디아이,3160
607,디아이씨,92200
608,디아이티,110990
609,디아크,78590
610,디알젬,263690
611,디알텍,214680
612,디앤디플랫폼리츠,377190
613,디앤씨미디어,263720
614,디어유,376300
615,디에스앤엘,141020
616,디에스케이,109740
617,디에이테크놀로지,196490
618,디에이피,66900
619,디엑스앤브이엑스,180400
620,디엔에이링크,127120
621,디엔에프,92070
622,디오,39840
623,디와이,13570
624,디와이디,219550
625,디와이씨,310870
626,디와이파워,210540
627,디와이피엔에프,104460
628,디이엔티,79810
629,디젠스,113810
630,디지아이,43360
631,디지캡,197140
632,디지털대성,68930
633,디지틀조선,33130
634,디케이락,105740
635,디케이앤디,263020
636,디케이티,290550
637,디티앤씨,187220
638,디티앤씨알오,383930
639,디피코,163430
640,딜리,131180
641,딥노이드,315640
642,라닉스,317120
643,라온시큐어,42510
644,라온테크,232680
645,라온피플,300120
646,라이온켐텍,171120
647,라이트론,69540
648,라이프사이언스테크놀로지,285770
649,라이프시맨틱스,347700
650,라파스,214260
651,라피치,403360
652,락앤락,115390
653,래몽래인,200350
654,램테크놀러지,171010
655,랩지노믹스,84650
656,러셀,217500
657,럭스피아,92590
658,레고켐바이오,141080
659,레드캡투어,38390
660,레몬,294140
661,레이,228670
662,레이언스,228850
663,레이저쎌,412350
664,레이크머티리얼즈,281740
665,레인보우로보틱스,277810
666,렌딩머신,179720
667,로보로보,215100
668,로보스타,90360
669,로보쓰리,238500
670,로보티즈,108490
671,로스웰,900260
672,로지스몬,223220
673,로지시스,67730
674,로체시스템즈,71280
675,롯데관광개발,32350
676,롯데렌탈,89860
677,롯데리츠,330590
678,롯데손해보험,400
679,롯데쇼핑,23530
680,롯데정밀화학,4000
681,롯데정보통신,286940
682,롯데제과,280360
683,롯데지주,4990
684,롯데칠성,5300
685,롯데케미칼,11170
686,롯데하이마트,71840
687,루닛,328130
688,루멘스,38060
689,루켄테크놀러지스,162120
690,루트락,253610
691,루트로닉,85370
692,룽투코리아,60240
693,리노공업,58470
694,리노스,39980
695,리더스 기술투자,19570
696,리더스코스메틱,16100
697,리드코프,12700
698,리메드,302550
699,리파인,377450
700,린드먼아시아,277070
701,링네트,42500
702,링크제니시스,219420
703,마니커,27740
704,마니커에프앤지,195500
705,마스턴프리미어리츠,357430
706,마이크로디지탈,305090
707,마이크로엔엑스,448780
708,마이크로컨텍솔,98120
709,마이크로프랜드,147760
710,마인즈랩,377480
711,마크로젠,38290
712,만호제강,1080
713,매일유업,267980
714,매일홀딩스,5990
715,매커스,93520
716,맥스트,377030
717,맥쿼리인프라,88980
718,맵스리얼티1,94800
719,머큐리,100590
720,멀티캠퍼스,67280
721,메가스터디,72870
722,메가스터디교육,215200
723,메가엠디,133750
724,메드팩토,235980
725,메디쎄이,200580
726,메디아나,41920
727,메디안디노스틱,233250
728,메디앙스,14100
729,메디젠휴먼케어,236340
730,메디콕스,54180
731,메디톡스,86900
732,메디포스트,78160
733,메디프론,65650
734,메리츠금융지주,138040
735,메리츠증권,8560
736,메리츠화재,60
737,메이슨캐피탈,21880
738,메지온,140410
739,메카로,241770
740,메타랩스,90370
741,메타바이오메드,59210
742,멕아이씨에스,58110
743,멜파스,96640
744,명문제약,17180
745,명성티엔에스,257370
746,명신산업,9900
747,명진홀딩스,267060
748,모나리자,12690
749,모나미,5360
750,모다이노칩,80420
751,모델솔루션,417970
752,모두투어,80160
753,모두투어리츠,204210
754,모바일어플라이언스,87260
755,모베이스,101330
756,모베이스전자,12860
757,모비데이즈,363260
758,모비릭스,348030
759,모비스,250060
760,모아데이타,288980
761,모아텍,33200
762,모코엠시스,333050
763,모토닉,9680
764,모트렉스,118990
765,모헨즈,6920
766,무림P&P,9580
767,무림SP,1810
768,무림페이퍼,9200
769,무송지오씨,135160
770,무진메디,322970
771,무학,33920
772,문배철강,8420
773,미디어젠,279600
774,미래나노텍,95500
775,미래산업,25560
776,미래생명자원,218150
777,미래아이앤지,7120
778,미래에셋글로벌리츠,396690
779,미래에셋대우스팩 5호,353490
780,미래에셋맵스리츠,357250
781,미래에셋벤처투자,100790
782,미래에셋비전스팩1호,412930
783,미래에셋생명,85620
784,미래에셋증권,6800
785,미래엔에듀파트너,208890
786,미래컴퍼니,49950
787,미스터블루,207760
788,미원상사,2840
789,미원에스씨,268280
790,미원홀딩스,107590
791,미원화학,134380
792,미창석유,3650
793,미코,59090
794,미코바이오메드,214610
795,미투온,201490
796,미투젠,950190
797,바다로19호,155900
798,바디텍메드,206640
799,바른손,18700
800,바른손이앤에이,35620
801,바스칸바이오제약,354390
802,바이넥스,53030
803,바이브컴퍼니,301300
804,바이오노트,377740
805,바이오니아,64550
806,바이오다인,314930
807,바이오로그디바이스,208710
808,바이오솔루션,86820
809,바이오스마트,38460
810,바이오시네틱스,281310
811,바이오에프디엔씨,251120
812,바이오인프라생명과학,266470
813,바이오톡스텍,86040
814,바이오프로테크,199290
815,바이오플러스,99430
816,바이온,32980
817,바이옵트로,222160
818,바이젠셀,308080
819,바텍,43150
820,박셀바이오,323990
821,방림,3610
822,배럴,267790
823,백광산업,1340
824,백금T&A,46310
825,백산,35150
826,밸로프,331520
827,버킷스튜디오,66410
828,범양건영,2410
829,범한퓨얼셀,382900
830,베노홀딩스,206400
831,베뉴지,19010
832,베른,322190
833,베셀,177350
834,베스파,299910
835,베트남개발1,96300
836,벽산,7210
837,보광산업,225530
838,보라티알,250000
839,보락,2760
840,보령,3850
841,보로노이,310210
842,보성파워텍,6910
843,보해양조,890
844,본느,226340
845,볼빅,206950
846,부광약품,3000
847,부국증권,1270
848,부국철강,26940
849,부방,14470
850,부산산업,11390
851,부산주공,5030
852,부스타,8470
853,뷰노,338220
854,뷰웍스,100120
855,브랜드엑스코퍼레이션,337930
856,브레인즈컴퍼니,99390
857,브리지텍,64480
858,브릿지바이오테라퓨틱스,288330
859,브이씨,365900
860,브이원텍,251630
861,브이티지엠피,18290
862,블레이드 Ent,44480
863,블루콤,33560
864,블루탑,191600
865,블리츠웨이,369370
866,비나텍,126340
867,비덴트,121800
868,비디아이,148140
869,비보존 제약,82800
870,비비씨,318410
871,비비안,2070
872,비상교육,100220
873,비스토스,419540
874,비씨엔씨,146320
875,비씨월드제약,200780
876,비아트론,141000
877,비에이치,90460
878,비에이치아이,83650
879,비엔디생활건강,215050
880,비엔지티,32790
881,비엔케이제1호스팩,445360
882,비엘,142760
883,비엘팜텍,65170
884,비엘헬스케어,86220
885,비엠티,86670
886,비올,335890
887,비즈니스온,138580
888,비츠로셀,82920
889,비츠로시스,54220
890,비츠로테크,42370
891,비케이탑스,30790
892,비케이홀딩스,50090
893,비투엔,307870
894,비트나인,357880
895,비트컴퓨터,32850
896,비플라이소프트,148780
897,비피도,238200
898,빅솔론,93190
899,빅텍,65450
900,빅텐츠,210120
901,빙그레,5180
902,빛샘전자,72950
903,뿌리깊은나무들,266170
904,사람인에이치알,143240
905,사조대림,3960
906,사조동아원,8040
907,사조산업,7160
908,사조씨푸드,14710
909,사조오양,6090
910,산돌,419120
911,삼강엠앤티,100090
912,삼기,122350
913,삼륭물산,14970
914,삼목에스폼,18310
915,삼보모터스,53700
916,삼보산업,9620
917,삼보판지,23600
918,삼부토건,1470
919,삼성SDI,6400
920,삼성공조,6660
921,삼성머스트스팩5호,380320
922,삼성물산,28260
923,삼성바이오로직스,207940
924,삼성생명,32830
925,삼성스팩4호,377630
926,삼성스팩6호,425290
927,삼성스팩7호,439250
928,삼성에스디에스,18260
929,삼성엔지니어링,28050
930,삼성전기,9150
931,삼성전자,5930
932,삼성제약,1360
933,삼성중공업,10140
934,삼성증권,16360
935,삼성출판사,68290
936,삼성카드,29780
937,삼성화재,810
938,삼아알미늄,6110
939,삼아제약,9300
940,삼양사,145990
941,삼양식품,3230
942,삼양옵틱스,225190
943,삼양통상,2170
944,삼양패키징,272550
945,삼양홀딩스,70
946,삼영무역,2810
947,삼영에스앤씨,361670
948,삼영엠텍,54540
949,삼영이엔씨,65570
950,삼영전자,5680
951,삼영화학,3720
952,삼원강재,23000
953,삼익THK,4380
954,삼익악기,2450
955,삼일,32280
956,삼일기업공사,2290
957,삼일씨엔에스,4440
958,삼일제약,520
959,삼정펄프,9770
960,삼지전자,37460
961,삼진,32750
962,삼진엘앤디,54090
963,삼진제약,5500
964,삼천당제약,250
965,삼천리,4690
966,삼천리자전거,24950
