,name
1007,서울옥션
1008,서울전자통신
1009,서울제약
1010,서원
1011,서원인텍
1012,서전기전
1013,서진시스템
1014,서진오토모티브
1015,서플러스글로벌
1016,서한
1017,서호전기
1018,서흥
1019,서희건설
1020,석경에이티
1021,선광
1022,선도전기
1023,선바이오
1024,선익시스템
1025,선진
1026,선진뷰티사이언스
1027,성광벤드
1028,성도이엔지
1029,성문전자
1030,성보화학
1031,성신양회
1032,성안
1033,성우전자
1034,성우테크론
1035,성우하이텍
1036,성일하이텍
1037,성창기업지주
1038,성창오토텍
1039,성호전자
1040,세경하이테크
1041,세기상사
1042,세동
1043,세림B&G
1044,세명전기
1045,세방
1046,세방전지
1047,세보엠이씨
1048,세아메카닉스
1049,세아베스틸지주
1050,세아제강
1051,세아제강지주
1052,세아특수강
1053,세아홀딩스
1054,세우글로벌
1055,세운메디칼
1056,세원물산
1057,세원이앤씨
1058,세원정공
1059,세이브존I&C
1060,세종공업
1061,세종메디칼
1062,세종텔레콤
1063,세중
1064,세진중공업
1065,세진티에스
1066,세코닉스
1067,세토피아
1068,세하
1069,세화피앤씨
1070,센코
1071,센트랄모텍
1072,센트럴인사이트
1073,셀레믹스
1074,셀루메드
1075,셀리드
1076,셀리버리
1077,셀바스AI
1078,셀바스헬스케어
1079,셀젠텍
1080,셀트리온
1081,셀트리온제약
1082,셀트리온헬스케어
1083,셀피글로벌
1084,소니드
1085,소룩스
1086,소마젠
1087,소프트센
1088,소프트캠프
1089,손오공
1090,솔고바이오
1091,솔루스첨단소재
1092,솔루에타
1093,솔루엠
1094,솔본
1095,솔브레인
1096,솔브레인홀딩스
1097,솔트룩스
1098,솔트웨어
1099,송원산업
1100,쇼박스
1101,수산아이앤티
1102,수산인더스트리
1103,수산중공업
1104,수성샐바시온
1105,수젠텍
1106,수프로
1107,슈프리마
1108,슈프리마아이디
1109,슈프리마에이치큐
1110,슈피겐코리아
1111,스마트솔루션즈
1112,스맥
1113,스카이라이프
1114,스카이문스테크놀로지
1115,스코넥
1116,스킨앤스킨
1117,스타플렉스
1118,스톤브릿지벤처스
1119,스튜디오드래곤
1120,스튜디오산타클로스
1121,스틱인베스트먼트
1122,스페코
1123,승일
1124,시공테크
1125,시그네틱스
1126,시너지이노베이션
1127,시노펙스
1128,시디즈
1129,시스웍
1130,시큐브
1131,시큐센
1132,시티랩스
1133,신대양제지
1134,신도기연
1135,신도리코
1136,신라교역
1137,신라섬유
1138,신라에스지
1139,신라젠
1140,신성델타테크
1141,신성이엔지
1142,신성통상
1143,신세계
1144,신세계 I&C
1145,신세계건설
1146,신세계인터내셔날
1147,신세계푸드
1148,신송홀딩스
1149,신스틸
1150,신신제약
1151,신영스팩6호
1152,신영스팩7호
1153,신영스팩8호
1154,신영스팩9호
1155,신영와코루
1156,신영증권
1157,신원
1158,신원종합개발
1159,신일전자
1160,신일제약
1161,신진에스엠
1162,신테카바이오
1163,신풍
1164,신풍제약
1165,신한서부티엔디리츠
1166,신한알파리츠
1167,신한제10호스팩
1168,신한제7호스팩
1169,신한제8호스팩
1170,신한제9호스팩
1171,신한지주
1172,신화인터텍
1173,신화콘텍
1174,신흥
1175,신흥에스이씨
1176,실리콘투
1177,심텍
1178,심텍홀딩스
1179,싸이맥스
1180,싸이버원
1181,싸이토젠
1182,쌍방울
1183,쌍용C&E
1184,쌍용정보통신
1185,쌍용차
1186,써니전자
1187,썬테크
1188,썸에이지
1189,쎄노텍
1190,쎄니트
1191,쎄트렉아이
1192,쎌마테라퓨틱스
1193,쎌바이오텍
1194,쏘카
1195,쏠리드
1196,씨씨에스
1197,씨아이에스
1198,씨아이테크
1199,씨알푸드
1200,씨앗
1201,씨앤씨인터내셔널
1202,씨앤에스링크
1203,씨앤지하이테크
1204,씨앤투스
1205,씨에스베어링
1206,씨에스윈드
1207,씨엔알리서치
1208,씨엔티드림
1209,씨엔플러스
1210,씨유메디칼
1211,씨유테크
1212,씨이랩
1213,씨젠
1214,씨케이에이치
1215,씨큐브
1216,씨티씨바이오
1217,씨티케이
1218,아가방컴퍼니
1219,아나패스
1220,아난티
1221,아남전자
1222,아리온
1223,아모그린텍
1224,아모레G
1225,아모레퍼시픽
1226,아모센스
1227,아모텍
1228,아미노로직스
1229,아미코젠
1230,아바코
1231,아바텍
1232,아비코전자
1233,아세아
1234,아세아시멘트
1235,아세아제지
1236,아세아텍
1237,아센디오
1238,아셈스
1239,아스타
1240,아스트
1241,아스플로
1242,아시아경제
1243,아시아나IDT
1244,아시아나항공
1245,아시아종묘
1246,아우딘퓨쳐스
1247,아이디스
1248,아이디스홀딩스
1249,아이디피
1250,아이마켓코리아
1251,아이비김영
1252,아이센스
1253,아이스크림에듀
1254,아이쓰리시스템
1255,아이씨디
1256,아이씨에이치
1257,아이앤씨
1258,아이에스동서
1259,아이에스이커머스
1260,아이에이
1261,아이엘사이언스
1262,아이엠
1263,아이오바이오
1264,아이오케이
1265,아이윈
1266,아이윈플러스
1267,아이즈비전
1268,아이진
1269,아이컴포넌트
1270,아이케이세미콘
1271,아이퀘스트
1272,아이큐어
1273,아이크래프트
1274,아이텍
1275,아이톡시
1276,아이티센
1277,아이티아이즈
1278,아이티엠반도체
1279,아이패밀리에스씨
1280,아주IB투자
1281,아주스틸
1282,아즈텍WB
1283,아진산업
1284,아진엑스텍
1285,아톤
1286,아퓨어스
1287,아프리카TV
1288,아하
1289,안국약품
1290,안랩
1291,안지오랩
1292,안트로젠
1293,알로이스
1294,알루코
1295,알리코제약
1296,알비더블유
1297,알서포트
1298,알에스오토메이션
1299,알에프세미
1300,알에프텍
1301,알엔투테크놀로지
1302,알체라
1303,알테오젠
1304,알톤스포츠
1305,알티캐스트
1306,알파홀딩스
1307,알피바이오
1308,압타머사이언스
1309,압타바이오
1310,앙츠
1311,애경산업
1312,애경케미칼
1313,애니메디솔루션
1314,애니젠
1315,애니플러스
1316,애드바이오텍
1317,애머릿지
1318,액션스퀘어
1319,액토즈소프트
1320,액트로
1321,앤디포스
1322,앤씨앤
1323,앱코
1324,앱클론
1325,야스
1326,양지사
1327,어반리튬
1328,어보브반도체
1329,어스앤에어로스페이스
1330,얼라인드
1331,엄지하우스
1332,에너토크
1333,에넥스
1334,에브리봇
1335,에스넷
1336,에스디바이오센서
1337,에스디생명공학
1338,에스디시스템
1339,에스맥
1340,에스비비테크
1341,에스씨디
1342,에스씨엠생명과학
1343,에스아이리소스
1344,에스알바이오텍
1345,에스앤더블류
1346,에스앤디
1347,에스앤에스텍
1348,에스에너지
1349,에스에스알
1350,에스에이엠티
1351,에스에이티
1352,에스에이티이엔지
1353,에스에프에이
1354,에스엔유
1355,에스엘
1356,에스엘바이오닉스
1357,에스엘에스바이오
1358,에스엘테라퓨틱스
1359,에스엠
1360,에스엠벡셀
1361,에스엠비나
1362,에스엠코어
1363,에스와이
1364,에스원
1365,에스제이그룹
1366,에스제이켐
1367,에스케이씨에스
1368,에스케이증권7호스팩
1369,에스케이증권제8호스팩
1370,에스코넥
1371,에스텍
1372,에스텍파마
1373,에스트래픽
1374,에스티아이
1375,에스티오
1376,에스티큐브
1377,에스티팜
1378,에스폴리텍
1379,에스퓨얼셀
1380,에스피시스템스
1381,에스피지
1382,에쎈테크
1383,에쓰씨엔지니어링
1384,에어부산
1385,에이디엠코리아
1386,에이디칩스
1387,에이디테크놀로지
1388,에이루트
1389,에이리츠
1390,에이블씨엔씨
1391,에이비엘바이오
1392,에이비온
1393,에이비프로바이오
1394,에이스침대
1395,에이스테크
1396,에이스토리
1397,에이아이더뉴트리진
1398,에이에프더블류
1399,에이엔피
1400,에이원알폼
1401,에이치시티
1402,에이치앤비디자인
1403,에이치엔에스하이텍
1404,에이치엘사이언스
1405,에이치엠씨제4호스팩
1406,에이치엠씨제5호스팩
1407,에이치와이티씨
1408,에이치케이
1409,에이치피오
1410,에이테크솔루션
1411,에이텍
1412,에이텍티앤
1413,에이트원
1414,에이티넘인베스트
1415,에이티세미콘
1416,에이팩트
1417,에이펙스인텍
1418,에이프로
1419,에이프로젠
1420,에이프로젠 H&G
1421,에이프로젠바이오로직스
1422,에이프릴바이오
1423,에이플러스에셋
1424,에이피티씨
1425,에치에프알
1426,에코마케팅
1427,에코바이오
1428,에코캡
1429,에코프로
1430,에코프로비엠
1431,에코프로에이치엔
1432,에코플라스틱
1433,에프알텍
1434,에프앤가이드
1435,에프앤리퍼블릭
1436,에프에스티
1437,에프엔씨엔터
1438,에프엔에스테크
1439,엑사이엔씨
1440,엑서지21
1441,엑세스바이오
1442,엑셈
1443,엑스큐어
1444,엑시콘
1445,엔바이오니아
1446,엔브이에이치코리아
1447,엔비티
1448,엔솔바이오사이언스
1449,엔시스
1450,엔시트론
1451,엔씨소프트
1452,엔에스엔
1453,엔에스엠
1454,엔에스컴퍼니
1455,엔에이치스팩19호
1456,엔에이치스팩20호
1457,엔에이치스팩22호
1458,엔에이치스팩23호
1459,엔에이치스팩24호
1460,엔에이치스팩25호
1461,엔에이치스팩26호
1462,엔에이치스팩27호
1463,엔에프씨
1464,엔젠바이오
1465,엔젯
1466,엔지브이아이
1467,엔지스테크널러지
1468,엔지켐생명과학
1469,엔케이
1470,엔케이맥스
1471,엔켐
1472,엔텔스
1473,엔투텍
1474,엔피
1475,엔피디
1476,엔피케이
1477,엘디티
1478,엘리비젼
1479,엘브이엠씨홀딩스
1480,엘비루셈
1481,엘비세미콘
1482,엘아이에스
1483,엘앤씨바이오
1484,엘앤에프
1485,엘앤케이바이오
